	id	AMM_id	name	reaction	subsystem	reversibility	gpr	val_fit	mfaLB	mfaUB	val_fit_100	mfaLB_100	mfaUB_100	pfba	pfba_100
13GS_c	13GS_c	13GS_c	1,3-beta-glucan synthase	udpg_c --> 13BDglucan_c + h_c + udp_c	Carbohydrate biosynthesis	0	YGR032W or YMR306W or (YLR342W and YCR034W)	0.2331029275392507	0.2330433065354134	0.2331625549354134	0.8417391193250127	0.8415238267424909	0.8419544349903432	0.2331414597491682	0.8418812984382021
16GS_c	16GS_c	16GS_c	1,6-beta-glucan synthase	udpg_c --> 16BDglucan_c + h_c + udp_c	Carbohydrate biosynthesis	0	YGR143W or YPR159W	0.0613429612542048	0.06132726821533131	0.0613586494153313	0.2215106036118241	0.2214539357490034	0.2215672538610074	0.06135309804308146	0.2215480073740939
2OXOADPt_c_m	2OXOADPt_c_m	2OXOADPt_c_m	2-oxoadipate and 2-oxoglutarate transport	2oxoadp_m + akg_c --> 2oxoadp_c + akg_m	Transport	0	YOR222W or YPL134C	0.1210712704899788	0.1210403112402345	0.1211022476402345	0.4371906679749231	0.4370788735333439	0.4373025270555906	0.1210912910161342	0.4372645406780121
AASADy_c	AASADy_c	AASADy_c	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c	Lysine metabolism	0	YBR115C and YGL154C	0.1210712787431495	0.1210403112402345	0.1211022476402345	0.4371906977772802	0.4370788735333439	0.4373025270555906	0.1210912910161342	0.4372645406780121
AATA_c	AATA_c	AATA_c	2-aminoadipate transaminase	2oxoadp_c + glu__L_c --> L2aadp_c + akg_c	Lysine metabolism	0	YER152C or YGL202W or YJL060W	0.1210712764780059	0.1210403112402345	0.1211022476402345	0.4371906895978033	0.4370788735333439	0.4373025270555906	0.1210912910161342	0.4372645406780121
ABTA_c	ABTA_c	ABTA_c	4-aminobutyrate transaminase	4abut_c + akg_c --> glu__L_c + sucsal_c	Alanine, aspartate and glutamate metabolism	0	YGR019W	0.1051408664851017	1e-07	0.155236100580409	0.3796656751354446	3.611019081616972e-07	0.5605605213516685	0.1097614432114845	0.3963520963999852
ACACT40ir_c	ACACT40ir_c	ACACT40ir_c	acetyl-CoA C-acetyltransferase	2.0 accoa_c --> aacoa_c + coa_c	Terpenoid backbone biosynthesis	0	YPL028W	0.07800215789987137	0.0779823199864025	0.0780222235864025	0.2816672805837356	0.28159564549966	0.2817397381606852	0.07801516459128094	0.2817152647780485
ACGAM6PS_c	ACGAM6PS_c	ACGAM6PS_c	N-acetylglucosamine-6-phosphate synthase	accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c	Carbohydrate biosynthesis	0	YFL017C	0.005511275795330743	0.00550986259309093	0.005512681993090929	0.01990132206099307	0.01989621896073892	0.01990639986793763	0.005512183237819582	0.0199046706942539
ACGAMPM_c	ACGAMPM_c	ACGAMPM_c	phosphoacetylglucosamine mutase	acgam6p_c --> acgam1p_c	Amino sugar and nucleotide sugar metabolism	0	YEL058W	0.005511273943902558	0.00550986259309093	0.005512681993090929	0.01990131537545056	0.01989621896073892	0.01990639986793763	0.005512183237819582	0.0199046706942539
ACGK_m	ACGK_m	ACGK_m	acetylglutamate kinase	acglu_m + atp_m --> acg5p_m + adp_m	Arginine and proline metabolism	0	YER069W	0.2877669975672398	0.09266828825481137	0.5467230474982934	1.039132119274928	0.3346269571489058	1.974227356876119	0.09957834404394711	0.3595805982781375
ACHBS_m	ACHBS_m	ACHBS_m	2-aceto-2-hydroxybutanoate synthase	2obut_m + h_m + pyr_m --> 2ahbut_m + co2_m	Valine, leucine and isoleucine metabolism	0	(YCL009C and YMR108W) or YMR108W	0.108540042748861	0.1085122821775727	0.1085678079775727	0.3919401654856589	0.3918399215330202	0.3920404262563422	0.1085579853963689	0.392006371580834
ACLS_m	ACLS_m	ACLS_m	acetolactate synthase	h_m + 2.0 pyr_m --> alac_m + co2_m	Valine, leucine and isoleucine metabolism	0	(YCL009C and YMR108W) or YMR108W	0.2826836536262705	0.2826113546347105	0.2827559670347105	1.020776067305666	1.020514994267561	1.021037192403399	0.282730384926176	1.020948499789219
ACOADS160_rm	ACOADS160_rm	ACOADS160_c	palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA)	h_c + nadh_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nad_c	Fatty acid biosynthesis	0	YGL055W	0.02591294203965019	0.02590629976505966	0.02591955603421765	0.09357212816601147	0.09354814278571973	0.09359601142660028	0.02591721098416411	0.0935878811890418
ACOADS180_rm	ACOADS180_rm	ACOADS180_c	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA)	h_c + nadh_c + o2_c + stcoa_c --> 2.0 h2o_c + nad_c + odecoa_c	Fatty acid biosynthesis	0	YGL055W	0.009507522274944835	0.009505086622984665	0.009509950381521665	0.0343318443537242	0.03432304916801985	0.03434061229290533	0.00950908997675154	0.03433762928827096
ACONTa_m	ACONTa_m	ACONTa_m	citrate to cis-aconitate(3-)	cit_m <=> acon_C_m + h2o_m	Citric acid cycle	1	YLR304C	0.6750975171959724	0.6113370358943939	0.7172916680574417	2.437790016546898	2.207549701913816	2.590153900440289	0.6864412059945445	2.478761239746567
ACONTb_m	ACONTb_m	ACONTb_m	cis-aconitate(3-) to isocitrate	acon_C_m + h2o_m <=> icit_m	Citric acid cycle	1	YLR304C	0.6750975196438924	0.6113370358943939	0.7172916680574417	2.437790025386384	2.207549701913816	2.590153900440289	0.6864412059945445	2.478761239746567
ACOTAi_m	ACOTAi_m	ACOTAi_m	acteylornithine transaminase	acg5sa_m + glu__L_m --> acorn_m + akg_m	Arginine and proline metabolism	0	YOL140W	0.287766998968696	0.09266828825481137	0.5467230474982934	1.039132124335613	0.3346269571489058	1.974227356876119	0.09957834404394711	0.3595805982781375
ACS_c	ACS_c	ACS_c	acetyl-CoA synthetase	ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c	Acetyl-CoA synthesis	0	YAL054C or YLR153C	0.8419143990742043	0.8269782808383989	0.986137549335237	3.040168960145038	2.986234352190257	3.560961507748539	0.8273265875868133	2.987502877177634
ACt_c_m	ACt_c_m	ACt_c_m	acetate transport	ac_c <=> ac_m	Transport	1	YCR010C or YNR002C	-3.495237590467326e-07	-0.2782043008092737	-1e-07	-1.262136963396244e-06	-1.004601038810195	-3.611019081616972e-07	-1e-07	-3.611032114768278e-07
ADK1_c	ADK1_c	ADK1_c	adenylate kinase	amp_c + atp_c --> 2.0 adp_c	Purine metabolism	0	YDL166C or YDR226W	3.352469353410149	3.33697769367889	4.578624330588562	12.10583080570016	12.04989012680467	16.53349982531103	3.497016140946948	12.62783759082246
ADNK1_c	ADNK1_c	ADNK1_c	adenosine kinase	adn_c + atp_c --> adp_c + amp_c + h_c	Purine metabolism	0	YJR105W	0.04311716886783623	0.0431061662413435	1.18689008967744	0.1556969195270579	0.1556571888328447	4.285882761607314	0.04312432166059504	0.155723310444006
