# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Cyberlindnera_fabianii_JCM3601@Seq_1607;Cyberlindnera_fabianii_JCM3601@Seq_1969	chebi:16004;chebi:15991	0.6163,42.3762;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_3459	chebi:16004;chebi:15991	42.3762,5.2401;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_3145	chebi:16004;chebi:15991	42.3762,9.1125;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_3268	chebi:16004;chebi:15991	42.3762,4.2793;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_5702	chebi:16004;chebi:15991	42.3762,3.4640;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_3459	chebi:15991;chebi:16004	;42.3762,5.2401
r_0003_1_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1429	chebi:16982;chebi:57540	6.0393;7.0107
r_0003_1_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1429	chebi:15686;chebi:57945	5.9986;9.6092
r_0003_2_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1658	chebi:16982;chebi:57540	4.3855;5.2901
r_0003_2_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1658	chebi:15686;chebi:57945	4.0168;6.5641
r_0003_3_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_5705	chebi:16982;chebi:57540	15.9029;13.4859
r_0003_3_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_5705	chebi:15686;chebi:57945	12.3712;30.4371
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	Cyberlindnera_fabianii_JCM3601@Seq_1969;Cyberlindnera_fabianii_JCM3601@Seq_954	chebi:15991;chebi:16651	;42.3762,0.4178
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1584;Cyberlindnera_fabianii_JCM3601@Seq_2698	chebi:18066	2.3257,0.4902
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_2698;Cyberlindnera_fabianii_JCM3601@Seq_2025	chebi:18066	0.4902,2.2029
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_2698;Cyberlindnera_fabianii_JCM3601@Seq_3399	chebi:18066	0.4902,3.0963
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_1584	chebi:18066	2.3257
r_0005_5	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Cyberlindnera_fabianii_JCM3601@Seq_2025	chebi:18066	2.2029
