product,name,precursor,MW (g/mol),rateFBA,yieldFBA,vCarbonSourcesFBA,rateRBA,yieldRBA,vCarbonSourcesRBA,yRBA/yFBA,yieldExp_LB_(g/g_substrate),yieldExp_UB_(g/g_substrate),SimulationSettings,yieldEXP_conditions,yieldExp_ref,fluxExp_LB_(mmol product/(gDW*h)),fluxExp_UB_(mmol product/(gDW*h)),,yield on minimal media at 1.0% exp. growth,FBA: yield on minimal media at 1.0% exp. growth,vCarbonSources,RBA: vCarbonSources,carbonSlack,RBA: carbonSlack,vprod,RBA: vprod,yield,RBA: yield
13ppd,"1,3-Propanediol",Glycerol,76.09,17.81382212023962,0.5695516930700739,-13.21,7.60327475105763,0.24309538841390305,-13.209999999652213,0.42681883202477666,,,,,,,,,,UNDF,,-13.209999999652213,,0.0,,7.60327475105763,,0.24309538841390305
2phetoh,2-Phenylethanol,L-Phenylalanine,122.16,2.555301936198521,0.31221950973542884,-5.549610203629693,1.677292248506234,0.08609664251053509,-13.209999999932382,0.275756766716764,0.08,,,,,,,,,UNDF,,-13.209999999932382,,0.0,,1.677292248506234,,0.08609664251053509
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942361104087,0.6654236103139346,-5.54541956689234,,,,,0.13,,,,,,,,,,,,,,,,,
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.29424545764848,0.7479521116175375,-5.544759808668625,1.980880011876821,0.07497837810509894,-13.209968282714026,0.10024489127111236,0.14,,,,,,,,,UNDF,,-13.209968282714026,,0.0,,1.980880011876821,,0.07497837810509894
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942361104087,0.6654236103139346,-5.54541956689234,,,,,0.13,,,,,,,,,,,,,,,,,
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.29424545764848,0.7479521116175375,-5.544759808668625,1.980880011876821,0.07497837810509894,-13.209968282714026,0.10024489127111236,0.14,,,,,,,,,UNDF,,-13.209968282714026,,0.0,,1.980880011876821,,0.07497837810509894
4hbz,p-Hydroxybenzoate,Chorismate,137.11,3.3547285289072923,0.4600748684385398,-5.5494414230054865,1.508393595216451,0.08690249840873465,-13.209999995606642,0.18888773191127636,0.07,,,,,,,,,UNDF,,-13.209999995606642,,0.0,,1.508393595216451,,0.08690249840873465
arte,Artermisinic acid,Farnesyl diphosphate,234.33,2.844697655376321,0.28009958094537146,-13.21,0.303006673342385,0.029835172788531344,-13.20999940038452,0.10651630640729225,,,,,,,,,,UNDF,,-13.20999940038452,,0.0,,0.303006673342385,,0.029835172788531344
btd,"(2R,3R)-Butanediol",Pyruvate,90.12,5.008732116108074,0.45163577178910297,-5.5476866685940465,4.964587466408413,0.18799781482821928,-13.20999999992031,0.41625979732182783,0.11,,,,,,,,,UNDF,,-13.20999999992031,,0.0,,4.964587466408413,,0.18799781482821928
btoh,n-Butanol,Threonine or (acetyl-CoA and pyruvate),74.12,4.161856556537492,0.3085281699700435,-5.549820853802994,1.643145652518849,0.05117524428818276,-13.2099999999823,0.16586895223587397,0.04,,,,,,,,,UNDF,,-13.2099999999823,,0.0,,1.643145652518849,,0.05117524428818276
citm,Citramalate,Acetyl-CoA and pyruvate,146.1,12.489371088802157,0.7667243171293748,-13.21,1.484989845495886,0.09116374372840984,-13.209999999574412,0.11890029009348237,,,,,,,,,,UNDF,,-13.209999999574412,,0.0,,1.484989845495886,,0.09116374372840984
cou,p-Coumaric acid,L-Tyrosine,163.15,2.6118239322819092,0.4262860821805087,-5.548570274707247,1.253882439781464,0.08595919708023568,-13.209999997287007,0.20164673601479838,0.15,,,,,,,,,UNDF,,-13.209999997287007,,0.0,,1.253882439781464,,0.08595919708023568
hdca,Hexadecanoic acid,Fatty acyl-CoA,256.4,1.0169945364213848,0.260783920720699,-5.550180402242266,,,,,0.1,,,,,,,,,,,,,,,,,
hxdcol,Hexadecanol,Fatty acyl-CoA,242.44,0.9874314723701774,0.23939406808761174,-5.550717505065815,0.40044733715478,0.040794173381639987,-13.20999999349645,0.1704059491010881,0.005,,,,,,,,,UNDF,,-13.20999999349645,,0.0,,0.40044733715478,,0.040794173381639987
ibutoh,Isobutanol,Isobutanol,74.12,4.686403727429831,0.3474539428442705,-5.5491841280687515,1.203868573868351,0.037494100577259826,-13.209999999971602,0.10791099467840763,0.06,,,,,,,,,UNDF,,-13.209999999971602,,0.0,,1.203868573868351,,0.037494100577259826
lac__L,L-Lactate,Pyruvate,89.07,8.860211568548351,0.7940334041382824,-5.516810175723823,14.737688310018427,0.5515809663507861,-13.209999999921756,0.6946571308915956,0.69,,,,,,,,,UNDF,,-13.209999999921756,,0.0,,14.737688310018427,,0.5515809663507861
muco,"cis,cis-Muconate",3-Dehydroshikimate,140.09,3.8364607704513154,0.5375941614562846,-5.549254244910345,1.686100064945432,0.09925217304569846,-13.209966786972178,0.18462286267550793,0.07,,,,,,,,,UNDF,,-13.209966786972178,,0.0,,1.686100064945432,,0.09925217304569846
nrgn,(2S)-Naringenin,Tyrosine and malonyl-CoA,272.25,3.969093036182594,0.45405411831770826,-13.21,0.400094572882881,0.045769798510149444,-13.209999999994329,0.10080251816617959,,,,,,,,,,UNDF,,-13.209999999994329,,0.0,,0.400094572882881,,0.045769798510149444
odealc,oleyl alcohol,oleoyl-CoA,268.5,0.09996364001457181,0.23552527003365606,-0.332925,,,,,,,"media:reset;c_sources:EX_sucr_e;media:reset;c_sources:EX_sucr_e;EX_sucr_e:(-0.332925,1000);EX_k_e:(-0.1,1000);EX_nh4_e:(-0.09,1000);EX_ca2_e:(-0.002844,1000);EX_mg2_e:(-0.004689,1000);EX_pi_e:(-0.01,1000);EX_no3_e:(-0.003217,1000);EX_cl_e:(-0.00643,1000);EX_so4_e:(-0.002,1000);EX_h_e:(-1000,1000);EX_h2o_e:(-1000,1000);EX_btn_c:(-0.01,1000);EX_o2_e:(-26.25403530509562,1000);EX_co2_e:(0,1000);EX_thm_e:(-1000,1000);EX_ribflv_e:(-1000,1000);EX_nac_e:(-1000,1000);EX_pydxn_e:(-1000,1000);EX_fol_e:(-1000,1000);EX_pnto__R_e:(-1000,1000);EX_4abz_e:(-1000,1000);EX_cu2_e:(-1000,1000);EX_fe2_e:(-1000,1000);EX_fe3_e:(-1000,1000);EX_mn2_e:(-1000,1000);EX_na1_e:(-1000,1000);EX_ni2_e:(-1000,1000);EX_zn2_e:(-1000,1000);EX_cobalt2_e:(-1000,1000);EX_inost_e:(-1000,1000);EX_asp__L_e:(-0.00046,1000);EX_thr__L_e:(-0.000276,1000);EX_ser__L_e:(-0.000334,1000);EX_glu__L_e:(-0.001013,1000);EX_gly_e:(-0.000747,1000);EX_tyr__L_e:(-0.000094,1000);EX_lys__L_e:(-0.000216,1000);EX_arg__L_e:(-0.000236,1000);EX_trp__L_e:(-0.000023,1000);EX_chol_e:(-0.090319,1000);EX_ala__L_e:(-0.001179,1000);EX_val__L_e:(-0.000463,1000);EX_met__L_e:(-0.000132,1000);EX_ile__L_e:(-0.000253,1000);EX_leu__L_e:(-0.000709,1000);EX_phe__L_e:(-0.000229,1000);EX_his__L_e:(-0.000205,1000);EX_pro__L_e:(-0.000761,1000);BIOMASS_AERO_SC_hvd:(0.0133333333333333,1000)",,,,,"Rounded up trace element uptakes to account for contributions from seed cultures, until yields could be replicated",,,,,,,,,,
